Render flag enabled: attempting to use MuJoCo visualiser (render=true).
Launching MuJoCo visualizer... Close window to exit or it will auto-exit after steps.
[Step  421 ] pos=( 0.81 ,  0.423 ) goal=( 0.8 ,  0.4 ) dist= 0.0249
[Step  428 ] pos=( 0.81 ,  0.418 ) goal=( 0.8 ,  0.4 ) dist= 0.0208
[Step  434 ] pos=( 0.805 ,  0.414 ) goal=( 0.8 ,  0.4 ) dist= 0.0148
[Step  440 ] pos=( 0.805 ,  0.418 ) goal=( 0.8 ,  0.4 ) dist= 0.0191
[Step  447 ] pos=( 0.801 ,  0.41 ) goal=( 0.8 ,  0.4 ) dist= 0.0102
[Step  453 ] pos=( 0.797 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0097
[Step  459 ] pos=( 0.8 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0048
[Step  465 ] pos=( 0.801 ,  0.406 ) goal=( 0.8 ,  0.4 ) dist= 0.0057
[Step  472 ] pos=( 0.813 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0143
[Step  478 ] pos=( 0.81 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.0136
[Step  484 ] pos=( 0.809 ,  0.413 ) goal=( 0.8 ,  0.4 ) dist= 0.0157
[Step  491 ] pos=( 0.805 ,  0.41 ) goal=( 0.8 ,  0.4 ) dist= 0.0115
[Step  497 ] pos=( 0.8 ,  0.413 ) goal=( 0.8 ,  0.4 ) dist= 0.0129
[Step  503 ] pos=( 0.801 ,  0.418 ) goal=( 0.8 ,  0.4 ) dist= 0.0183
[Step  509 ] pos=( 0.801 ,  0.415 ) goal=( 0.8 ,  0.4 ) dist= 0.0147
[Step  516 ] pos=( 0.796 ,  0.409 ) goal=( 0.8 ,  0.4 ) dist= 0.01
[Step  522 ] pos=( 0.792 ,  0.405 ) goal=( 0.8 ,  0.4 ) dist= 0.0095
